Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,5 A,Charleston,US CHS,6/8/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,53 A,Galveston,US GLS,15/5/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,63 A,Galveston,US GLS,19/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,37 A,Galveston,US GLS,3/6/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,55 A,Galveston,US GLS,24/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,65 A,Galveston,US GLS,8/7/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,39 A,Galveston,US GLS,19/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,53 A,Veracruz,MX VER,18/5/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,63 A,Veracruz,MX VER,22/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,37 A,Veracruz,MX VER,5/6/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,55 A,Veracruz,MX VER,26/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,65 A,Veracruz,MX VER,10/7/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,39 A,Veracruz,MX VER,21/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,53 A,Altamira,MX ATM,20/5/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,63 A,Altamira,MX ATM,25/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,37 A,Altamira,MX ATM,8/6/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,55 A,Altamira,MX ATM,28/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,65 A,Altamira,MX ATM,13/7/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,39 A,Altamira,MX ATM,24/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,53 A,Davisville,US DVV,27/5/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,63 A,Davisville,US DVV,1/6/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,37 A,Davisville,US DVV,16/6/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,55 A,Davisville,US DVV,5/7/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,65 A,Davisville,US DVV,21/7/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,39 A,Davisville,US DVV,1/8/2021,
